2024-12-03 23:17:11 [http-nio-8080-exec-5] INFO  c.h.ticketing_system.model.Customer - Global stop for all purchases disabled.
2024-12-05 17:01:43 [Thread-26] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 45 to the pool. Ticket No. of ticked booked in batch:9 
2024-12-05 17:01:46 [Thread-25] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 46 to the pool. Ticket No. of ticked booked in batch:10 
2024-12-05 17:01:46 [Thread-17] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 47 to the pool. Ticket No. of ticked booked in batch:10 
2024-12-05 17:01:46 [Thread-22] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 48 to the pool. Ticket No. of ticked booked in batch:10 
2024-12-05 17:01:46 [Thread-21] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 49 to the pool. Ticket No. of ticked booked in batch:10 
2024-12-05 17:01:46 [Thread-26] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 50 to the pool. Ticket No. of ticked booked in batch:10 
2024-12-05 17:01:49 [Thread-17] INFO  c.h.ticketing_system.model.Customer - Thread:114 for customer with ID:cust001 finished executing
2024-12-05 17:01:49 [Thread-17] INFO  c.h.ticketing_system.model.Customer - Thread completed for Vendor ID: cust001 (Thread ID: 114)
2024-12-05 17:01:49 [Thread-25] INFO  c.h.ticketing_system.model.Customer - Thread:122 for customer with ID:cust003 finished executing
2024-12-05 17:01:49 [Thread-25] INFO  c.h.ticketing_system.model.Customer - Thread completed for Vendor ID: cust003 (Thread ID: 122)
2024-12-05 17:01:49 [Thread-22] INFO  c.h.ticketing_system.model.Customer - Thread:119 for customer with ID:cust002 finished executing
2024-12-05 17:01:49 [Thread-22] INFO  c.h.ticketing_system.model.Customer - Thread completed for Vendor ID: cust002 (Thread ID: 119)
2024-12-05 17:01:49 [Thread-21] INFO  c.h.ticketing_system.model.Customer - Thread:118 for customer with ID:cust004 finished executing
2024-12-05 17:01:49 [Thread-21] INFO  c.h.ticketing_system.model.Customer - Thread completed for Vendor ID: cust004 (Thread ID: 118)
2024-12-05 17:01:49 [Thread-26] INFO  c.h.ticketing_system.model.Customer - Thread:123 for customer with ID:cust005 finished executing
2024-12-05 17:01:49 [Thread-26] INFO  c.h.ticketing_system.model.Customer - Thread completed for Vendor ID: cust005 (Thread ID: 123)
2024-12-05 17:10:44 [Thread-39] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust005 with purchase batch size: 10 (Thread ID: 91)
2024-12-05 17:10:44 [Thread-40] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust001 with purchase batch size: 10 (Thread ID: 92)
2024-12-05 17:10:44 [Thread-43] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust003 with purchase batch size: 10 (Thread ID: 95)
2024-12-05 17:10:44 [Thread-44] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust009 with purchase batch size: 10 (Thread ID: 96)
2024-12-05 17:10:44 [Thread-41] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust008 with purchase batch size: 10 (Thread ID: 93)
2024-12-05 17:10:44 [Thread-38] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust004 with purchase batch size: 10 (Thread ID: 90)
2024-12-05 17:10:44 [Thread-42] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust002 with purchase batch size: 10 (Thread ID: 94)
2024-12-05 17:10:44 [Thread-46] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust006 with purchase batch size: 10 (Thread ID: 98)
2024-12-05 17:10:44 [Thread-47] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust010 with purchase batch size: 10 (Thread ID: 99)
2024-12-05 17:10:44 [Thread-45] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: cust007 with purchase batch size: 10 (Thread ID: 97)
2024-12-05 17:10:44 [Thread-39] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 7 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-40] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 3 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-43] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 4 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-44] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 6 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-41] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 2 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-38] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 5 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-42] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 9 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-46] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 10 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-47] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 8 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:44 [Thread-45] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 1 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 17:10:47 [Thread-39] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 17 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-40] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 13 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-43] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 14 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-44] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 16 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-41] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 12 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-38] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 15 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-42] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 19 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-46] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 20 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-47] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 18 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:47 [Thread-45] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 11 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 17:10:50 [Thread-39] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 27 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-40] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 23 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-43] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 24 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-44] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 26 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-41] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 22 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-38] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 25 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-42] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 29 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-46] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 30 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-47] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 28 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:50 [Thread-45] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 21 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 17:10:53 [Thread-39] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 37 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:53 [Thread-40] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 33 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:53 [Thread-43] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 34 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:53 [Thread-44] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 36 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:53 [Thread-41] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 32 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:53 [Thread-38] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 35 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:53 [Thread-42] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 39 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:54 [Thread-46] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 40 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:54 [Thread-47] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 38 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:54 [Thread-45] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 31 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 17:10:56 [Thread-39] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 47 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:56 [Thread-40] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 43 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-43] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 44 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-41] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 42 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-44] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 46 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-38] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 45 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-42] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 49 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-46] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 50 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-47] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 48 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:57 [Thread-45] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 41 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 17:10:59 [Thread-39] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 57 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:10:59 [Thread-40] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 53 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-43] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 54 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-41] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 52 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-44] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 56 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-38] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 55 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-42] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 59 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-46] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 60 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-45] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 51 to the pool. Ticket No. of ticked booked in batch:6 
2024-12-05 17:11:00 [Thread-47] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 58 to the pool. Ticket No. of ticked booked in batch:6 
